"","name","elected","ideology","list","party_member","party","age","sex","educ"
"276","Patricia Javiera Lopez Menadier","0","-1.40067037692185","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","Hasta 44","Mujer","Educacion Superior"
"277","Andres Sergio Giordano Salazar","0","-1.5478486062513","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","Hasta 44","Hombre","null"
"278","Manuel Rodolfo Valencia Chacon","0","-1.34555359036622","Independientes y Movimientos Sociales del Apruebo","Independiente","Independiente","45+","Hombre","Educacion Media"
"279","Natalie Alejandra Arriagada Acosta","0","-1.53620499904289","Independientes y Movimientos Sociales del Apruebo","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"280","Mario Alejandro Aguilar Arevalo","0","-1.52506348263204","Independientes y Movimientos Sociales del Apruebo","Independiente","Independiente","45+","Hombre","null"
"281","Esteban Andres Quiroz Gonzalez","0","-1.15447365149339","Independientes y Movimientos Sociales del Apruebo","Independiente","Independiente","Hasta 44","Hombre","Educacion Superior"
"282","Jocelyn Duran Huaiquin","0","-1.34679438349197","Independientes y Movimientos Sociales del Apruebo","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"283","Bessy Mireya Del Rosario Gallardo Prado","1","-1.20476495128258","Lista del Apruebo","Independiente","Independiente - Partido Progresista (PRO)","Hasta 44","Mujer","Educacion Superior"
"284","Cesar Antonio Barrera Fuenzalida","0","-1.45034069444798","Lista del Apruebo","Independiente","Independiente - Partido Progresista (PRO)","Hasta 44","Hombre","Educacion Superior"
"285","Carolina Alejandra Garrido Silva","0","-1.5376394083024","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Mujer","Educacion Superior"
"286","Rene Cortazar Sanz","0","0.701578611361333","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Hombre","Educacion Superior"
"287","Francisco Reyes Morande","0","-1.58519266284913","Lista del Apruebo","Independiente","Independiente - Partido por la Democracia (PPD)","45+","Hombre","Educacion Superior"
"288","Cecilia Carolina Valdes Leon","0","-1.16741670125171","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Mujer","Educacion Superior"
"289","Jaime Francisco Troncoso Valdes","0","-1.45605328097589","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","45+","Hombre","null"
"290","Pedro Tomas Bustamante Perez","0","-1.59189120300562","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Media"
"291","Maria Elizabeth Hernandez Figueroa","0","-1.61664398350209","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"292","Hector Hernan Orellana Cortes","0","-0.88701882432566","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Superior"
"293","Arturo Elias Perez Valenzuela","0","-1.38197545120335","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Hombre","null"
"294","Daniela Belen Acevedo Verdugo","0","-1.44996217215318","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Mujer","null"
"295","Claudia Carolina Latorre Aravena","0","0.441269626638498","Comunidad Independiente Ven Seremos","Independiente","null","45+","Mujer","null"
"296","Cristobal Fernando Fernandez Aliste","0","1.06561194650698","Comunidad Independiente Ven Seremos","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"297","Gabriel Alfonso Munoz Carrillo","0","-1.24524809222467","Partido de Trabajadores Revolucionarios","Militante de Partido","Partido de Trabajadores Revolucionarios","Hasta 44","Hombre","Educacion Superior"
"298","Eduard Patricio Puran Puran","0","-1.10988140221854","Partido de Trabajadores Revolucionarios","Independiente","null","45+","Hombre","Educacion Superior"
"299","Luis Arturo Zuniga Jory","1","0.760045039005461","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","Hasta 44","Hombre","Educacion Superior"
"300","Ruth Olivera de La Fuente","0","-1.35771872124375","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","Hasta 44","Mujer","Educacion Superior"
"301","Felipe Obal Duran","0","-0.709918832376272","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Hombre","Educacion Superior"
"302","Yuyuniz Navas De Caso","0","0.878305839138315","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
"303","Sol Letelier Gonzalez","0","1.25870280700668","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
"304","Duilio Renzo de Lapeyra Palma","0","0.484020779965915","Vamos por Chile","Independiente","Independiente - Evolucion Politica (Evopoli)","Hasta 44","Hombre","Educacion Superior"
"305","Catalina Bosch Carcuro","0","-1.53723453004794","Movimientos Sociales Plurinacionales e Independientes","Independiente","No","45+","Mujer","Educacion Superior"
"306","Jessica del Carmen Cayupi Llancaleo","0","-1.714722860844","Movimientos Sociales Plurinacionales e Independientes","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"307","Jose Ignacio Padilla San Martin","0","-1.47879485980355","Movimientos Sociales Plurinacionales e Independientes","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"308","Rolando Alberto Abarzua Jara","0","-1.15200382157207","Movimientos Sociales Plurinacionales e Independientes","Independiente","null","45+","Hombre","Educacion Superior"
"309","Veronica del Carmen Molina Henriquez","0","-1.65579487734994","Movimientos Sociales Plurinacionales e Independientes","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"310","Alejandra Pia Perez Espina","1","-1.20321261337085","La Lista del Pueblo Distrito 9","Independiente","null","Hasta 44","Mujer","null"
"311","Marlene Elizabeth Soto Godoy","0","-1.78588589505187","La Lista del Pueblo Distrito 9","Independiente","null","45+","Mujer","Educacion Superior"
"312","Patricio Alejandro Caceres Escudero","0","-1.52900328685551","La Lista del Pueblo Distrito 9","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"313","Matias Nicolas Roa Roa","0","-1.19480201945093","La Lista del Pueblo Distrito 9","Independiente","null","Hasta 44","Hombre","Educacion Media"
"314","Natalia Esther Henriquez Carreno","1","-1.52796567930113","La Lista del Pueblo Distrito 9","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"315","Haydee Melania del Carmen Oberreuter Umazabal","0","-1.58285461290989","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","45+","Mujer","null"
"316","Rodrigo Tomas Mallea Cardemil","0","-1.19823021198262","Apruebo Dignidad","Militante de Partido","Convergencia Social (CS)","Hasta 44","Hombre","Educacion Superior"
"317","Michelle Fernanda Peutat Alvarado","0","-1.30268533608032","Apruebo Dignidad","Independiente","Independiente - Convergencia Social (CS)","Hasta 44","Mujer","Educacion Superior"
"318","Eric David Campos Bonta","0","-1.66351034076836","Apruebo Dignidad","Militante de Partido","Partido Comunista (PC)","Hasta 44","Hombre","Educacion Superior"
"319","Barbara Sepulveda Hales","1","-1.77914896678793","Apruebo Dignidad","Militante de Partido","Partido Comunista (PC)","Hasta 44","Mujer","Educacion Superior"
"320","Gonzalo Manuel Bacigalupe Rojas","0","-1.34505928829295","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","45+","Hombre","Educacion Superior"
"321","Ivan Silva Gonzalez","0","-1.20366182430083","Independientes por una Nueva Constitucion","Independiente","null","Hasta 44","Hombre","Educacion Media"
"322","Uriel Osvaldo Gonzalez Inostroza","0","-1.08797895706671","Independientes por una Nueva Constitucion","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"323","Loreto Roxana Rebolledo Rissetti","0","0.274179185258491","Independientes por una Nueva Constitucion","Independiente","null","45+","Mujer","Educacion Superior"
"324","Margarita Ernestina Guerrero Zamora","0","-1.91106275689548","Independientes por una Nueva Constitucion","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"325","Mario Eduardo Zelada Orellana","0","-0.93570658547287","Independientes por una Nueva Constitucion","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"326","Nicole Denisse Romo Flores","0","-1.23128159513934","Independientes por una Nueva Constitucion","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"327","Alejandra Rosa Acevedo Escobar","0","-1.13392871433425","Lista del Apruebo","Independiente","Independiente - Partido Progresista (PRO)","Hasta 44","Mujer","Educacion Superior"
"328","Millarai Abelleira Peralta","0","-1.05385469040079","Lista del Apruebo","Independiente","Independiente - Partido Socialista (PS)","Hasta 44","Mujer","Educacion Superior"
"329","Jorge Andres Cash Saez","0","-0.944134332197853","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","Hasta 44","Hombre","Educacion Superior"
"330","Santiago Escobar Sepulveda","0","0.488511044596651","Lista del Apruebo","Independiente","Independiente - Partido Democrata Independiente (PPD)","45+","Hombre","Educacion Superior"
"331","Galit Nicole Agosin Horvitz","0","-1.09090956035834","Lista del Apruebo","Independiente","Independiente - Partido Democrata Independiente (PPD)","Hasta 44","Mujer","Educacion Media"
"332","Cesar Valenzuela Maass","1","-1.32008071375173","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Hombre","Educacion Superior"
"333","Fernanda San Martin Gougain","0","0.958676442235126","Lista del Apruebo","Independiente","Independiente - Partido Democrata Cristiano (DC)","Hasta 44","Mujer","Educacion Superior"
"334","Nicole Jorquera Briones","0","-1.67874464305284","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"335","Raul Alfredo Cortes Castillo","0","-1.33771984968966","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Media"
"336","Patricia Nunez avila","0","-1.44219622891983","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","45+","Mujer","Educacion Superior"
"337","Vicente Andres Orellana Hidalgo","0","-0.914226255401969","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Media"
"338","Adrian Alberto Valencia Vidal","0","-1.55058719687137","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","45+","Hombre","null"
"339","Paula Stefani Mora Da Silva","0","-1.19157789308194","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Media"
"340","Rodrigo Logan Soto","1","0.853687835660783","Independiente","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"341","Gonzalo Fernando Blumel Mac-Iver","0","1.23286652120863","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","Hasta 44","Hombre","Educacion Superior"
"342","Paulina Andrea Lobos Herrera","0","1.16102156925682","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","Hasta 44","Mujer","Educacion Superior"
"343","Sylvia Eyzaguirre Tafra","0","1.08602685222469","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","45+","Mujer","Educacion Superior"
"344","Diego Jose Riveaux Marcet","0","0.632590342233689","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","Hasta 44","Hombre","Educacion Superior"
"345","Jaime Andres Flores Sierralta","0","1.16003879736052","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","Hasta 44","Hombre","Educacion Superior"
"346","Maria Macarena Letelier Velasco","0","0.923928038243029","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
"347","Karina Natasha Nohales Pena","0","-0.970939307104781","Movimientos Sociales: Unidad de Independientes","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"348","Andrea Gutierrez Vasquez","0","-1.72109658510198","Movimientos Sociales: Unidad de Independientes","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"349","Pablo Salvador Luis Sepulveda Allende","0","-1.51564026336915","Movimientos Sociales: Unidad de Independientes","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"350","Javier Nicolas Pineda Olcay","0","-1.53604271641159","Movimientos Sociales: Unidad de Independientes","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"351","Francisca Fernandez Droguett","0","-1.4621893664351","Movimientos Sociales: Unidad de Independientes","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"352","Manuel Mauricio Woldarsky Gonzalez","1","-1.23960674046264","La Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"353","Patricia Navarrete Cortes","0","-1.30475929241452","La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"354","Daniel Isaias Martinez Barrera","0","-1.30797689905559","La Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Media"
"355","Veronica Guzman Quilaqueo","0","-1.15638297606292","La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"356","Carlos Eduardo Ruiz Encina","0","-1.1540332818918","Apruebo Dignidad","Independiente","Independiente - Comunes (COM)","45+","Hombre","Educacion Superior"
"357","Emilia Schneider Videla","0","-1.5379600094515","Apruebo Dignidad","Militante de Partido","Comunes (COM)","Hasta 44","Mujer","Educacion Superior"
"358","Antonia Cosmica Orellana Guarello","0","-1.32656094770758","Apruebo Dignidad","Militante de Partido","Convergencia Social (CS)","Hasta 44","Mujer","Educacion Superior"
"359","Pablo Gabriel Selles Ferres","0","-1.58624497414869","Apruebo Dignidad","Militante de Partido","Convergencia Social (CS)","Hasta 44","Hombre","Educacion Superior"
"360","Giovanna angela Roa Cadin","1","-1.28153304065726","Apruebo Dignidad","Militante de Partido","Revolucion Democratica (RD)","Hasta 44","Mujer","Educacion Superior"
"361","Fernando Atria Lemaitre","1","-1.08323047760981","Apruebo Dignidad","Independiente","Independiente - Revolucion Democratica (RD)","45+","Hombre","Educacion Superior"
"362","Alejandra del Pilar Jimenez Castro","0","-1.19848812957444","Apruebo Dignidad","Militante de Partido","Partido Comunista (PC)","45+","Mujer","Educacion Superior"
"363","Rafael Humberto Harvey Valdes","0","0.133309674864465","Apruebo Dignidad","Independiente","Independiente - Federacion Regionalista Verde Social (FRVS)","Hasta 44","Hombre","Educacion Superior"
"364","Carolina Fernanda Toledo Sarmiento","0","-1.21098715208454","Partido de Trabajadores Revolucionarios","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"365","Javier Ignacio Ayarza Gonzalez","0","-1.63571758079719","Partido de Trabajadores Revolucionarios","Independiente","null","Hasta 44","Hombre","null"
"366","Jose Joaquin Romero Palacios","0","-1.45516915485457","Partido de Trabajadores Revolucionarios","Independiente","null","Hasta 44","Hombre","Educacion Media"
"367","Josue Albert Ormazabal Morales","0","-1.71582273752405","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","45+","Hombre","Educacion Superior"
"368","Hector Leonardo Aravena Perez","0","-1.22900640774394","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Hombre","Educacion Superior"
"369","Valentina Vargas Lowick-Russell","0","-1.586007873673","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Mujer","Educacion Media"
"370","Paola Andrea Walker Rodriguez","0","-1.40472254713641","Independientes como tu","Independiente","null","45+","Mujer","Educacion Superior"
"371","Patricia Faridez Rubilar Severo","0","-1.72464152255042","Independientes como tu","Independiente","null","Hasta 44","Mujer","null"
"372","Maria Soledad Acuna Diaz","0","-1.72959565129438","Independientes como tu","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"373","Sung Young Yun","0","-1.56422666611987","Independientes como tu","Independiente","null","45+","Hombre","Educacion Superior"
"374","Karla Andrea Pinto Timmermann","0","1.29721703827175","Independientes como tu","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"375","Patricio Domingo Gonzalez Ojeda","0","-1.3235794388118","Independientes como tu","Independiente","null","45+","Hombre","Educacion Superior"
"376","Felipe Cristhian Vargas Puga","0","0.194376333740177","Independientes como tu","Independiente","null","45+","Hombre","null"
"377","Gabriel Gurovich Steiner","0","-1.66215824932471","Independientes por la Nueva Constitucion","Independiente","Independiente","Hasta 44","Hombre","Educacion Superior"
"378","Jose Andres Murillo Urrutia","0","0.22128729692107","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"379","Pablo Morris Keller","0","-1.19744519205045","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Hombre","Educacion Superior"
"380","Andres Perez Munoz","0","-1.36660942500831","Independientes por la Nueva Constitucion","Independiente","Independiente","Hasta 44","Hombre","Educacion Superior"
"381","Patricia Politzer Kerekes","1","-0.818144199042028","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Superior"
"382","Roxana Engracia Espinoza Salfate","0","-1.38963590752551","Independientes por la Nueva Constitucion","Independiente","Independiente","45+","Mujer","Educacion Superior"
"383","Carolina Arenas Ortiz","0","-1.59759786094068","Independientes por la Nueva Constitucion","Independiente","Independiente","Hasta 44","Mujer","Educacion Superior"
"384","Laura Albornoz Pollmann","0","-1.24640392003944","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Mujer","Educacion Superior"
"385","Jorge Marcos Baradit Morales","1","-0.902887356492664","Lista del Apruebo","Independiente","Independiente - Partido Socialista (PS)","45+","Hombre","Educacion Superior"
"386","Catalina Adriana Lagos Tschorne","0","-1.18595318436353","Lista del Apruebo","Militante de Partido","Partido Socialista (PS)","Hasta 44","Mujer","Educacion Superior"
"387","Lucia Lopez Guerra","0","-1.00574737476422","Lista del Apruebo","Independiente","Independiente - Partido por la Democracia (PPD)","45+","Mujer","Educacion Superior"
"388","Jaime Parada Hoyl","0","-1.20125453082122","Lista del Apruebo","Independiente","Independiente - Partido por la Democracia (PPD)","Hasta 44","Hombre","Educacion Superior"
"389","Patricio Zapata Larrain","0","0.12415641894378","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","45+","Hombre","Educacion Superior"
"390","Darwin Loreto Johns","0","-1.07016672661606","Lista del Apruebo","Independiente","Independiente - Partido Liberal (PL)","45+","Hombre","Educacion Superior"
"391","Carolina Vanessa Parraguez Pina","0","-1.29412929599866","Lista del Apruebo","Independiente","Independiente - Partido Liberal (PL)","Hasta 44","Mujer","Educacion Superior"
"392","Maria Elena Guajardo Moraga","0","-0.941462108662951","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"393","Gregorio Manuel Augusto Correa Salinas","0","-1.31471791561613","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","45+","Hombre","Educacion Media"
"394","Phelippe Romero Muzz","0","-1.17256623621618","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Superior"
"395","Claudio Rosello Arriaran","0","-1.37030608448031","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Superior"
"396","Consuelo Conejan Brito","0","-1.38486380714181","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Media"
"397","Camilo Parada Ortiz","0","-0.934221236934855","Independiente","Independiente","null","45+","Hombre","Educacion Superior"
"398","Hernan Larrain Matte","1","0.964466711477744","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","45+","Hombre","Educacion Superior"
"399","Maria Paulina Kantor Pupkin","0","1.22732869677791","Vamos por Chile","Militante de Partido","Evolucion Politica (Evopoli)","45+","Mujer","Educacion Superior"
"400","Veronica Campino Garcia-Huidobro","0","0.280415451717174","Vamos por Chile","Militante de Partido","Renovacion Nacional (RN)","Hasta 44","Mujer","Educacion Superior"
"401","Andres Carey Carvallo","0","0.13401722801512","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","Hasta 44","Hombre","Educacion Superior"
"402","Bernardo Fontaine Talavera","1","0.814284230977767","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","45+","Hombre","Educacion Superior"
"403","Constanza Veronica Hube Portus","1","0.819314087175853","Vamos por Chile","Militante de Partido","Union Democrata Independiente (UDI)","Hasta 44","Mujer","Educacion Superior"
"404","Marcela Cubillos Sigall","1","0.975415395406156","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
"405","Francisco Orrego Bauza","0","0.497411201571709","Independiente","Independiente","null","45+","Hombre","Educacion Superior"
"406","Henry Boys Loeb","0","0.996834235342374","Independiente","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"407","Diego Bravo Morales","0","1.25103675856151","Independiente","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"408","Sonia Ulloa Toro","0","-1.69241385642819","Movimiento Social La Lista del Pueblo","Independiente","null","45+","Mujer","null"
"409","Nicolas Romero Reeves","0","-1.3936831894576","Movimiento Social La Lista del Pueblo","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"410","Daniela King Reyes","0","-1.54052175816658","Movimiento Social La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"411","Juan Eduardo Baeza Carrasco","0","-1.68577651522375","Movimiento Social La Lista del Pueblo","Independiente","null","45+","Hombre","Educacion Superior"
"412","Carolina Cifuentes Castillo","0","-1.50475440476316","Movimiento Social La Lista del Pueblo","Independiente","null","Hasta 44","Mujer","Educacion Media"
"413","Eledin Parraguez Lizana","0","-1.58737491804534","Movimiento Social La Lista del Pueblo","Independiente","null","45+","Hombre","Educacion Superior"
"414","Javiera Alejandra Toro Caceres","0","-1.41163272314474","Apruebo Dignidad","Militante de Partido","Comunes (COM)","Hasta 44","Mujer","Educacion Superior"
"415","Constanza Gabriela Schönhaut Soto","1","-1.21610729993198","Apruebo Dignidad","Militante de Partido","Convergencia Social (CS)","Hasta 44","Mujer","Educacion Superior"
"416","Carolina Paz Perez Dattari","0","-1.33146231463881","Apruebo Dignidad","Militante de Partido","Revolucion Democratica (RD)","Hasta 44","Mujer","Educacion Superior"
"417","Mauricio Pesutic Perez","0","-1.26006766084193","Apruebo Dignidad","Independiente","Independiente - Partido Comunista (PC)","45+","Hombre","Educacion Superior"
"418","Natalia Belen Garrido Toro","0","-1.6994236319532","Apruebo Dignidad","Militante de Partido","Partido Igualdad (PI)","Hasta 44","Mujer","Educacion Media"
"419","Diego Mardones Perez","0","-0.933747457776909","Apruebo Dignidad","Independiente","Independiente - Partido Igualdad (PI)","45+","Hombre","Educacion Superior"
"420","Alejandra Nathaly Brozalez Romero","0","-1.30750166986239","Union Patriotica","Militante de Partido","Partido Union Patriotica (UPa)","Hasta 44","Mujer","Educacion Superior"
"421","Laura Mariana Aylwin Oyarzun","0","0.956954064919588","Independientes con Chile","Independiente","null","45+","Mujer","Educacion Superior"
"422","Tomas Recart Balze","0","0.890210653676793","Independientes con Chile","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"423","Jose Clemente Perez Errazuriz","0","0.987605234602642","Independientes con Chile","Independiente","null","45+","Hombre","Educacion Superior"
"424","Manuel Adrian Inostroza Palma","0","-0.568036740971478","Independientes con Chile","Independiente","null","45+","Hombre","Educacion Superior"
"425","Cristina Beatriz Bastidas Gonzalez","0","0.868201185225328","Independientes con Chile","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"426","Pilar Pena D'Ardaillon","0","0.186087100627231","Independientes con Chile","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"427","Jorge Roberto de la Carrera de la Barrera","0","0.997979776137912","Independientes con Chile","Independiente","null","45+","Hombre","Educacion Superior"
"428","Pilar Catalina Elgueta Lagos","0","-1.19363634697752","Independientes por la Nueva Constitucion","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"429","Carola Fredes Tolorza","0","-1.66330289822472","Independientes por la Nueva Constitucion","Independiente","null","45+","Mujer","null"
"430","Carolina Contreras Dupre","0","-0.916466184770835","Independientes por la Nueva Constitucion","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"431","Claudio Guzman Fernandez del Rio","0","-1.20963299514716","Independientes por la Nueva Constitucion","Independiente","null","45+","Hombre","Educacion Superior"
"432","Felipe Vera Penaloza","0","0.344941697569565","Independientes por la Nueva Constitucion","Independiente","null","45+","Hombre","Educacion Superior"
"433","Milan Marcos Ivelic Kusanovic","0","-1.25966429238021","Independientes por la Nueva Constitucion","Independiente","null","45+","Hombre","Educacion Superior"
"434","Esteban Mauricio Chavez","0","-1.44839498266684","Energia Independiente","Independiente","null","Hasta 44","Hombre","Educacion Superior"
"435","Patricia Elean Arriagada Cardenas","0","-1.46556010063169","Energia Independiente","Independiente","null","45+","Mujer","Educacion Superior"
"436","Jorge Eduardo Rojas Riveros","0","-1.23092574980913","Energia Independiente","Independiente","null","45+","Hombre","Educacion Superior"
"437","Paula Andrea Salamanca Alcaide","0","0.235990357548939","Energia Independiente","Independiente","null","45+","Mujer","Educacion Superior"
"438","Renato Anibal Garrido Villegas","0","-1.53995570049163","Energia Independiente","Independiente","null","45+","Hombre","Educacion Superior"
"439","Debora Noemi Riquelme Valencia","0","-1.32579989731173","Energia Independiente","Independiente","null","Hasta 44","Mujer","Educacion Superior"
"440","Blanca Soledad Onate Piutrin","0","0.0548037624891294","Energia Independiente","Independiente","null","45+","Mujer","null"
"441","Elisa Walker Echenique","0","-0.991673067392304","Lista del Apruebo","Militante de Partido","Partido Democrata Cristiano (DC)","Hasta 44","Mujer","Educacion Superior"
"442","Juan Enrique Pi Arriagada","0","-1.44628755491884","Lista del Apruebo","Independiente","Independiente - Partido Democrata Cristiano (DC)","Hasta 44","Hombre","Educacion Superior"
"443","Sara Larrain Ruiz-Tagle","0","-1.24636438546841","Lista del Apruebo","Independiente","Independiente - Partido por la Democracia (PPD)","45+","Mujer","Educacion Superior"
"444","Cristobal Patricio Bellolio Badiola","0","-0.76934156735304","Lista del Apruebo","Independiente","Independiente - Ciudadanos (CIU)","Hasta 44","Hombre","Educacion Superior"
"445","Paola Berlin Razmilic","0","-0.982679968058273","Lista del Apruebo","Independiente","Independiente - Ciudadanos (CIU)","45+","Mujer","Educacion Superior"
"446","Patricio Herman Fernandez Chadwick","1","-0.508474868949791","Lista del Apruebo","Independiente","Independiente - Partido Liberal (PL)","45+","Hombre","Educacion Superior"
"447","Maria Jose Cumplido Baeza","0","-1.69431465401407","Lista del Apruebo","Militante de Partido","Partido Liberal (PL)","Hasta 44","Mujer","Educacion Superior"
"448","Gloria Susana Cordova Rodriguez","0","-1.19603637189503","Partido Humanista","Militante de Partido","Partido Humanista (PH)","45+","Mujer","Educacion Superior"
"449","Celeste Jimenez Riveros","0","-1.40479572334586","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","45+","Mujer","Educacion Superior"
"450","Pablo Amat Trujillo","0","-1.49330955798586","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Superior"
"451","Nicole Penaloza Morales","0","-1.48157732357572","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Superior"
"452","Ivo Tomislav Vukusich Cifuentes","0","-1.43711433809925","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Hombre","Educacion Superior"
"453","Cristina Femenias Salas","0","-0.693385472787902","Partido Ecologista Verde","Militante de Partido","Partido Ecologista Verde (PEV)","Hasta 44","Mujer","Educacion Media"
"454","Maria Luisa Cordero Velasquez","0","0.314633407471475","Vamos por Chile","Independiente","Independiente - Union Democrata Independiente (UDI)","45+","Mujer","Educacion Superior"
"455","Carol Espinaza Aschieri","0","1.14668451408456","Vamos por Chile","Independiente","Independiente - Renovacion Nacional (RN)","45+","Mujer","Educacion Superior"
